queryIndex	queryItem	stringId	preferredName	annotation
2	G3NEJ2	69293.ENSGACP00000003743	ENSGACG00000002856	LIM domain binding 3b
3	G3NFC1	69293.ENSGACP00000004023	ENSGACG00000003052	Calreticulin
4	G3NGD3	69293.ENSGACP00000004389	ENSGACG00000003348	Uncharacterized protein; Spondin 1b
5	G3NGT4	69293.ENSGACP00000004541	ENSGACG00000003473	Apolipoprotein C-II
6	G3NJS1	69293.ENSGACP00000005583	ENSGACG00000004236	annotation not available
7	G3NRG5	69293.ENSGACP00000007932	ENSGACG00000005994	Neural cell adhesion molecule 3; Si:dkey-77d17.6
8	G3NY15	69293.ENSGACP00000010235	ENSGACG00000007718	Niemann-Pick disease, type C2
10	G3NZH1	69293.ENSGACP00000010744	ENSGACG00000008115	Transglutaminase 2b
11	G3NZN3	69293.ENSGACP00000010806	ENSGACG00000008160	Myosin, light chain 9b, regulatory
12	G3P920	69293.ENSGACP00000014094	ENSGACG00000010634	annotation not available
13	G3PJH2	69293.ENSGACP00000017752	C18orf32	Ribosomal protein L17; Chromosome 18 open reading frame 32; Belongs to the universal ribosomal protein uL22 family
14	G3PKP7	69293.ENSGACP00000018177	ENSGACG00000013731	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
15	G3PNK3	69293.ENSGACP00000019186	ENSGACG00000014542	annotation not available
16	G3PUL8	69293.ENSGACP00000021305	ENSGACG00000016150	Proteasome (prosome, macropain) 26S subunit, ATPase, 3
17	G3PYU1	69293.ENSGACP00000022781	ENSGACG00000017247	Cathepsin D; Belongs to the peptidase A1 family
18	G3Q486	69293.ENSGACP00000024690	ATP5H	ATP synthase subunit d, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the cent [...] 
19	G3Q6T4	69293.ENSGACP00000025594	ENSGACG00000019365	Sex hormone binding globulin
20	G3QAJ2	69293.ENSGACP00000026908	ENSGACG00000020358	Transgelin 2; Belongs to the calponin family
