val,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
2.4992549419403076,1,3,7,11,14,18,19,24,27,31,38,44,46,53,68,77,80,87,93,94
2.4882184863090515,1,7,11,14,19,24,26,27,31,34,38,46,53,68,77,80,84,87,93,94
2.481594055891037,1,7,11,14,18,19,24,26,27,34,38,46,53,77,80,84,87,92,93,94
2.4801170229911804,1,7,14,19,24,26,27,31,34,38,46,53,64,68,77,80,84,87,93,94
2.4777592420578003,7,16,18,19,24,26,31,34,36,38,46,53,62,74,77,84,87,88,93,94
2.4601269960403442,1,5,7,14,17,18,19,22,24,27,36,44,46,53,66,68,77,87,93,100
2.4565758109092712,1,7,14,18,19,24,26,31,34,38,46,53,68,77,80,84,87,90,93,94
2.4519954323768616,1,7,9,11,14,19,24,27,31,34,38,42,46,53,56,62,77,87,93,94
2.4477825462818146,3,7,11,17,18,19,24,31,36,38,42,46,52,53,84,86,88,90,92,93
2.4433177411556244,3,7,8,11,16,17,18,19,24,46,53,57,71,77,80,87,88,92,93,94
2.4423213601112366,1,7,14,18,19,24,26,27,34,38,46,53,77,80,84,87,88,92,93,94
2.4392574429512024,1,7,11,14,18,19,24,26,31,36,38,46,53,68,77,80,84,87,93,94
2.439127653837204,1,7,14,18,19,22,24,28,31,36,39,53,62,66,68,77,87,93,98,100
2.4378859400749207,1,7,18,19,24,31,34,36,38,43,53,56,62,67,77,80,84,86,93,94
2.4366627037525177,1,7,11,14,18,19,24,27,31,34,38,46,53,77,80,84,87,92,93,94
2.432403936982155,1,7,14,18,19,22,24,27,36,39,46,53,66,68,75,77,87,93,98,100
2.4305225610733032,1,7,11,14,17,18,19,22,24,27,36,44,46,53,66,68,87,88,93,100
2.4294524490833282,1,5,7,11,14,18,19,24,26,27,34,38,46,53,77,80,84,87,93,94
2.4282422065734863,1,7,13,14,17,18,19,22,24,27,36,44,46,53,66,68,81,87,93,100
2.4264339804649353,1,7,14,18,19,24,26,27,34,38,46,53,57,77,80,84,87,88,93,94
2.426319032907486,1,3,7,11,14,18,19,24,27,34,36,38,44,46,53,68,77,80,87,93
2.4261063635349274,1,5,7,14,18,19,24,31,34,36,38,44,46,53,62,77,80,82,84,93
2.426047384738922,7,11,14,18,19,22,24,36,39,44,46,53,57,68,80,87,88,89,93,100
2.4252052307128906,1,5,7,14,18,19,24,31,34,36,38,44,46,53,62,68,77,84,87,93
2.422736167907715,1,7,13,14,17,18,19,22,24,27,36,46,53,66,68,77,87,93,98,100
2.422159820795059,1,5,7,14,18,19,24,26,31,34,36,38,43,53,62,77,80,84,93,94
2.421454757452011,1,7,13,14,17,18,19,22,24,27,36,46,53,66,68,77,81,87,93,100
2.421350210905075,1,7,11,14,18,19,24,26,34,38,46,53,77,80,84,86,87,92,93,94
2.420263022184372,1,7,11,18,19,24,34,38,39,46,53,71,77,80,84,86,87,92,93,94
2.420170843601227,1,7,14,19,24,26,27,31,38,46,53,59,68,77,80,84,87,92,93,94
