val,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
4.014040783047676,6,8,10,12,13,23,27,35,44,55,58,65,67,81,83,85,94,97,99,100
4.010252431035042,2,6,10,12,13,23,27,32,33,44,58,67,81,83,85,87,94,97,99,100
4.001403898000717,2,6,10,12,13,20,23,24,27,44,58,67,81,83,85,87,94,97,99,100
3.993528500199318,8,10,13,20,23,24,26,27,35,44,58,67,81,85,87,93,94,97,99,100
3.98312945663929,2,6,10,12,13,23,27,35,44,58,67,81,83,85,87,93,94,97,99,100
3.9787198454141617,3,6,10,12,13,20,24,26,27,35,58,67,81,83,85,87,94,97,99,100
3.9726935401558876,2,3,6,10,12,13,23,27,32,33,44,58,67,71,81,83,87,97,99,100
3.9696838706731796,6,13,20,23,28,30,44,50,61,66,67,80,85,87,91,93,94,97,99,100
3.96482390165329,3,6,10,12,13,20,26,27,35,44,58,61,67,83,85,87,94,97,99,100
3.964203655719757,2,6,8,10,12,13,23,27,36,44,50,67,83,85,87,92,94,97,99,100
3.963183715939522,2,6,10,12,13,23,27,44,50,58,67,71,81,83,85,87,92,97,99,100
3.9606709852814674,2,6,10,12,13,23,27,44,50,58,67,71,81,83,85,87,93,97,99,100
3.959859073162079,2,6,8,10,12,13,20,23,27,36,44,50,58,67,83,85,88,94,97,99
3.959364503622055,8,10,13,20,23,24,27,35,44,58,67,71,81,85,87,93,94,97,99,100
3.9590238481760025,6,10,12,13,23,27,44,50,58,65,67,81,83,85,92,93,94,97,99,100
3.9586570486426353,3,6,10,12,13,23,27,32,35,44,58,65,67,81,83,87,94,97,99,100
3.9583144783973694,6,10,12,13,23,27,32,33,35,44,58,65,67,81,83,87,94,97,99,100
3.9542630836367607,2,3,6,10,12,13,23,32,33,35,44,58,67,71,83,87,94,97,99,100
3.9542567133903503,6,10,12,13,23,24,27,35,44,58,67,81,83,85,87,93,94,97,99,100
3.9527262151241302,3,6,10,12,13,20,24,27,30,35,44,61,67,83,85,87,94,97,99,100
3.952257201075554,2,8,10,13,20,23,26,27,35,44,50,67,81,85,87,88,93,94,97,99
3.950385645031929,5,6,10,13,20,23,27,30,44,50,61,67,80,81,85,87,93,97,99,100
