"node","string_id","mcl_cluster","x_position","y_position"
"G3N7Z3","69293.ENSGACP00000001427",1,0.511065573770492,0.490094339622641
"G3N8X9","69293.ENSGACP00000001765",1,0.255635245901639,0.324528301886792
"G3NDE4","69293.ENSGACP00000003344",3,0.737909836065574,0.304716981132075
"G3NG11","69293.ENSGACP00000004266",2,0.685348360655738,0.40377358490566
"G3NPA2","69293.ENSGACP00000007166",3,0.627254098360656,0.303301886792453
"G3NXT2","69293.ENSGACP00000010152",2,0.601434426229508,0.432075471698113
"G3P5V0","69293.ENSGACP00000012973",2,0.691803278688525,0.514150943396226
"G3PCE2","69293.ENSGACP00000015266",5,0.624487704918033,0.191509433962264
"G3PJV6","69293.ENSGACP00000017886",1,0.393032786885246,0.307547169811321
"G3PLE8","69293.ENSGACP00000018429",1,0.510143442622951,0.304716981132075
"G3PYU1","69293.ENSGACP00000022781",6,0.393954918032787,0.545283018867925
"G3Q0N5","69293.ENSGACP00000023430",1,0.507377049180328,0.120754716981132
"G3Q972","69293.ENSGACP00000026436",2,0.625409836065574,0.536792452830189
"G3QBL0","69293.ENSGACP00000027276",4,0.701024590163934,0.886320754716981
"G3QCC3","69293.ENSGACP00000027539",4,0.690881147540984,0.722169811320755
"Q804E3","69293.ENSGACP00000009457",7,0.463114754098361,0.40377358490566
