"node","string_id","mcl_cluster","x_position","y_position"
"G3NDE4","69293.ENSGACP00000003344",1,0.476946721311475,0.517796610169492
"G3NPA2","69293.ENSGACP00000007166",1,0.413319672131148,0.444067796610169
"G3NRK0","69293.ENSGACP00000007967",2,0.58391393442623,0.835593220338983
"G3NUA6","69293.ENSGACP00000008924",3,0.660450819672131,0.177118644067797
"G3NYB9","69293.ENSGACP00000010339",1,0.375512295081967,0.306779661016949
"G3P920","69293.ENSGACP00000014094",5,0.399487704918033,0.78728813559322
"G3PIX9","69293.ENSGACP00000017558",3,0.576536885245902,0.210169491525424
"G3PKP7","69293.ENSGACP00000018177",1,0.435450819672131,0.657627118644068
"G3PM61","69293.ENSGACP00000018692",1,0.469569672131148,0.299152542372881
"G3PQL2","69293.ENSGACP00000019897",1,0.333094262295082,0.484745762711864
"G3PQX4","69293.ENSGACP00000020009",2,0.499077868852459,0.835593220338983
"G3PSB5","69293.ENSGACP00000020501",6,0.454815573770492,0.177118644067797
"G3PYU1","69293.ENSGACP00000022781",4,0.660450819672131,0.329661016949153
"G3Q2Y3","69293.ENSGACP00000024232",4,0.576536885245902,0.36271186440678
"G3Q3A5","69293.ENSGACP00000024357",7,0.576536885245902,0.482203389830508
"G3Q972","69293.ENSGACP00000026436",2,0.542418032786885,0.634745762711864
"G3QAJ2","69293.ENSGACP00000026908",8,0.333094262295082,0.665254237288136
