"node","string_id","mcl_cluster","x_position","y_position"
"G3N508","69293.ENSGACP00000000378",2,0.741598360655738,0.892796610169492
"G3N6B5","69293.ENSGACP00000000840",5,0.373668032786885,0.28135593220339
"G3N738","69293.ENSGACP00000001114",3,0.554405737704918,0.291525423728814
"G3N8J1","69293.ENSGACP00000019637",6,0.495389344262295,0.616949152542373
"G3NCF7","69293.ENSGACP00000003007",7,0.353381147540984,0.449152542372881
"G3NG36","69293.ENSGACP00000004291",3,0.608811475409836,0.113559322033898
"G3NTD6","69293.ENSGACP00000008604",4,0.523053278688525,0.530508474576271
"G3NUU3","69293.ENSGACP00000009112",1,0.413319672131148,0.36271186440678
"G3NXX5","69293.ENSGACP00000010195",2,0.653073770491803,0.755508474576271
"G3P5V0","69293.ENSGACP00000012973",1,0.402254098360656,0.526694915254237
"G3PFN1","69293.ENSGACP00000016405",1,0.388422131147541,0.686864406779661
"G3PI27","69293.ENSGACP00000017262",8,0.495389344262295,0.225423728813559
"G3PWE5","69293.ENSGACP00000021934",1,0.251946721311475,0.51906779661017
"G3Q289","69293.ENSGACP00000023988",2,0.617110655737705,0.616949152542373
"G3Q2Y3","69293.ENSGACP00000024232",9,0.333094262295082,0.616949152542373
"G3QBU5","69293.ENSGACP00000027361",4,0.59405737704918,0.404661016949153
