"node","string_id","mcl_cluster","x_position","y_position"
"G3N6H3","69293.ENSGACP00000000898",3,0.523538461538462,0.382307692307692
"G3N952","69293.ENSGACP00000001840",4,0.542,0.714615384615385
"G3NGV7","69293.ENSGACP00000004564",2,0.617692307692308,0.548461538461539
"G3NR25","69293.ENSGACP00000007791",5,0.403538461538462,0.382307692307692
"G3NVV4","69293.ENSGACP00000009473",6,0.578923076923077,0.216153846153846
"G3P8K6","69293.ENSGACP00000013930",1,0.443230769230769,0.493076923076923
"G3PJ42","69293.ENSGACP00000017621",2,0.486615384615385,0.606615384615385
"G3PWU7","69293.ENSGACP00000022086",7,0.578923076923077,0.825384615384615
"G3Q4Z0","69293.ENSGACP00000024944",8,0.477384615384615,0.825384615384615
"G3Q6S8","69293.ENSGACP00000025588",9,0.375846153846154,0.271538461538462
"G3QA18","69293.ENSGACP00000026734",1,0.375846153846154,0.742307692307692
"G3QA72","69293.ENSGACP00000026788",1,0.475538461538462,0.188461538461538
