val,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
8.36960456520319,2,12,24,26,33,38,50,59,62,65,71,72,73,79,82,83,85,87,93,94
8.337969318032265,12,21,24,25,26,27,33,38,50,59,62,65,71,72,73,79,82,83,93,94
8.331852227449417,2,12,24,26,33,35,38,50,59,65,71,72,73,79,81,82,83,86,93,100
8.328198038041592,2,12,26,27,33,35,38,50,59,65,71,72,73,79,81,82,83,86,93,100
8.325395449995995,2,12,26,33,38,50,59,62,65,68,71,72,73,79,82,83,85,87,93,94
8.325169190764427,12,24,26,27,33,35,38,50,59,65,71,72,73,79,81,82,83,86,93,100
8.324049971997738,2,12,24,26,33,38,50,59,62,65,68,71,72,73,79,82,83,85,93,94
8.322440594434738,12,24,26,33,38,50,59,62,65,70,71,72,73,79,82,83,85,87,93,94
8.321061216294765,2,12,24,26,33,38,50,59,62,65,71,72,73,79,82,83,85,87,93,100
8.318203046917915,2,12,24,26,27,33,38,50,59,62,65,71,72,73,79,81,82,83,93,94
8.313532821834087,2,12,21,25,26,27,33,38,50,59,62,65,71,72,73,79,82,83,93,94
8.30763017386198,2,12,26,27,33,38,50,59,62,65,71,72,73,79,81,82,83,86,93,94
8.304601326584816,12,24,26,27,33,38,50,59,62,65,71,72,73,79,81,82,83,86,93,94
8.301364533603191,2,12,21,24,26,33,38,50,59,62,65,71,72,73,79,82,83,85,93,94
8.301252707839012,12,21,24,25,26,33,38,48,50,59,62,65,71,72,73,79,82,83,93,94
8.295794934034348,2,12,21,24,25,26,27,33,38,50,59,65,71,72,73,79,82,83,93,94
8.294034495949745,2,12,24,26,27,33,38,50,59,62,65,71,72,79,81,82,83,86,93,94
8.292905494570732,12,24,25,26,33,38,48,50,59,62,65,71,72,73,79,81,82,83,93,94
8.292007200419903,2,12,26,27,33,38,50,59,62,65,68,71,72,73,79,81,82,83,93,94
8.290381401777267,12,24,25,26,27,33,38,50,59,62,65,71,72,73,79,82,83,87,93,94
8.28989228606224,2,12,24,26,27,33,38,50,59,65,71,72,73,79,81,82,83,86,93,94
