val,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
51.36461415512784,14,18,29,41,43,62,63,74,77,89,91,145,147,152,169,197,198,207,235,261,282,289,339,340,360,422,450,466,475,495,504,520,531,554,592,599,610,629,636,679,703,706,747,753,765,782,785,804,812,835,863,879,892,912,946,951,964,974,977,988,991,1006,1030,1075,1076,1089,1107,1108,1159,1180,1200,1224,1228,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1461,1473,1477,1480,1483,1488
51.36455020780542,14,18,29,41,43,62,63,74,77,89,91,145,147,152,169,197,198,207,261,282,289,291,339,340,360,422,450,466,475,495,504,517,520,531,554,592,599,610,629,636,679,703,706,747,753,765,782,785,804,812,835,863,879,892,946,951,964,974,977,988,989,991,1006,1030,1075,1076,1089,1107,1108,1162,1180,1200,1224,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1461,1473,1477,1480,1483,1488
51.36447515336189,14,18,29,43,62,63,74,77,89,91,145,152,169,197,198,207,235,261,282,289,339,340,360,422,450,466,475,495,504,517,520,531,554,592,599,610,629,636,679,703,706,747,753,765,782,785,804,812,835,863,879,892,946,951,964,974,977,988,989,991,1006,1030,1075,1076,1089,1107,1108,1162,1180,1200,1224,1227,1228,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1461,1473,1477,1480,1483,1488
51.36431210085822,14,18,29,41,43,62,63,74,77,89,91,145,147,152,169,197,198,207,235,261,282,289,339,340,360,422,450,466,475,495,504,520,531,554,592,599,610,629,636,679,703,706,747,753,765,782,785,804,812,835,863,879,892,946,951,964,974,977,988,989,991,1006,1030,1075,1076,1089,1107,1108,1159,1162,1180,1200,1224,1227,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1461,1473,1477,1480,1483,1488
51.36415412685723,14,18,29,43,62,63,74,77,89,91,145,147,152,169,197,198,207,235,261,282,289,340,360,422,450,466,475,495,504,517,520,531,554,592,599,610,629,636,679,703,706,739,747,753,765,782,785,804,812,835,863,879,892,946,951,964,974,977,988,989,991,1006,1030,1075,1076,1089,1107,1108,1162,1180,1200,1224,1227,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1461,1473,1477,1480,1483,1488
51.36409227325647,14,18,29,41,43,62,63,74,77,88,89,91,145,147,152,169,197,198,207,235,261,282,289,360,422,450,466,475,495,504,520,531,554,592,599,610,629,636,679,703,706,747,753,765,782,785,804,812,835,863,879,892,946,951,964,974,977,988,989,991,1006,1030,1075,1076,1089,1107,1108,1162,1180,1200,1224,1227,1228,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1461,1473,1477,1480,1483,1488
51.36408129376495,14,18,29,41,43,62,63,74,77,89,91,145,147,152,169,197,198,207,235,261,282,289,360,422,450,466,475,495,504,520,531,554,592,599,610,629,636,679,703,706,739,747,753,765,782,785,804,812,835,863,879,892,912,946,951,964,974,977,988,991,1006,1030,1075,1076,1089,1107,1108,1159,1162,1180,1200,1224,1227,1228,1230,1259,1265,1266,1284,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1461,1473,1477,1480,1483,1488
51.36394251255543,14,18,29,43,62,63,74,77,89,91,145,147,152,169,197,198,207,235,261,282,289,360,422,450,466,475,495,504,517,520,531,554,592,599,610,629,636,679,703,706,747,753,765,782,785,804,812,835,863,879,892,912,946,951,964,974,977,988,989,991,1006,1030,1075,1076,1089,1107,1108,1159,1162,1180,1200,1227,1228,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1461,1473,1477,1480,1483,1488
51.363938781550544,14,18,29,43,62,63,74,77,89,91,145,147,152,169,197,198,207,235,261,282,289,339,340,360,422,450,466,475,495,504,517,520,531,554,592,599,610,629,636,679,703,706,739,747,753,765,782,785,804,812,835,863,879,892,912,946,951,964,974,977,988,989,991,1006,1030,1075,1076,1089,1107,1108,1162,1180,1200,1224,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1473,1477,1480,1483,1488
51.363828097174526,10,14,18,29,43,62,63,74,77,89,91,145,152,169,197,198,207,235,261,282,289,339,340,360,422,450,466,475,495,504,517,520,531,554,592,599,610,629,636,679,703,706,747,753,765,782,785,804,812,835,863,879,892,912,946,951,964,974,977,988,989,991,1006,1030,1075,1076,1089,1107,1108,1162,1180,1200,1224,1227,1230,1259,1265,1266,1284,1291,1310,1326,1336,1345,1377,1386,1387,1405,1417,1422,1432,1438,1445,1450,1452,1473,1477,1480,1483,1488
